"ad1"	"ad2"	"ad3"	"ad4"	"ad5"	"hs1"	"hs2"	"hs3"	"hs4"	"hs5"	"as1"	"as2"	"as3"	"as4"	"as5"	"as6"	"hy1"	"hy2"	"hy3"	"hy4"	"hy5"	"pp1"	"pp2"	"pp3"	"de1"	"de2"	"de3"	"de4"
0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1
1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1
1	0	1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0
1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1
1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1
1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0
1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1
1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0
1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	1	1
1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1
